Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor																			
1479848724938.00	0	0	0	196	0	299874.83	889530																			
1479848724989.00	1	0	1	196	0	299874.83	889530																			
1479848725017.00	2	0	1	196	0	299874.83	889530																			
1479848725042.00	3	0	1	196	0	294614.75	889530																			
1479848725065.00	4	0	1	196	0	294614.75	889530																			
1479848725083.00	5	0	1	196	0	299874.83	846672.86																			
1479848725108.00	6	0	1	196	0	299874.83	889530																			
1479848725130.00	7	0	1	196	0	299874.83	889530																			
1479848725155.00	8	0	1	196	0	299874.83	846672.86																			
1479848725180.00	9	0	1	196	0	299874.83	889530																			
1479848725206.00	10	0	1	196	0	299874.83	889530																			
1479848725217.00	11	0	1	196	0	299874.83	936898.42																			
1479848725232.00	12	0	1	196	0	299874.83	936898.42																			
1479848725249.00	13	0	1	196	0	294614.75	889530																			
1479848725266.00	14	0	1	196	0	299874.83	889530																			
1479848725280.00	15	0	1	196	0	299874.83	846672.86																			
1479848725295.00	16	0	1	196	0	299874.83	936898.42																			
1479848725307.00	17	0	1	196	0	299874.83	936898.42																			
1479848725325.00	18	0	1	196	0	299874.83	846672.86																			
1479848725342.00	19	0	1	196	0	294614.75	989530																			
1479848725360.00	20	0	1	196	0	294614.75	889530																			
1479848725377.00	21	0	1	196	0	284611.97	889530																			
1479848725391.00	22	0	1	196	0	299874.83	846672.86																			
1479848725407.00	23	0	1	196	0	305319.47	936898.42																			
1479848725420.00	24	0	1	196	0	289530	846672.86																			
1479848725438.00	25	0	1	196	0	294614.75	846672.86																			
1479848725448.00	26	0	1	196	0	299874.83	846672.86																			
1479848725467.00	27	0	1	196	0.484	305319.47	846672.86																			
1479848725479.00	28	0	1	196	0	299874.83	889530																			
1479848725489.00	29	0	1	196	0	299874.83	889530																			
1479848725499.00	30	0	1	196	0	294614.75	889530																			
1479848725515.00	31	0	1	196	0	294614.75	846672.86																			
1479848725530.00	32	0	1	196	0	299874.83	889530																			
1479848725540.00	33	0	1	196	0	299874.83	936898.42																			
1479848725551.00	34	0	1	196	0	305319.47	936898.42																			
1479848725571.00	35	0	1	196	0	299874.83	936898.42																			
1479848725583.00	36	0	1	196	0	305319.47	936898.42																			
1479848725592.00	37	0	1	196	0	299874.83	889530																			
1479848725603.00	38	0	1	196	0	299874.83	889530																			
1479848725614.00	39	0	1	196	0	305319.47	936898.42																			
1479848725633.00	40	0	1	196	0	294614.75	846672.86																			
1479848725644.00	41	0	1	196	0	294614.75	889530																			
1479848725655.00	42	0	1	196	0	299874.83	889530																			
1479848725664.00	43	0	1	196	0	299874.83	889530																			
1479848725684.00	44	0	1	196	0.484	299874.83	846672.86																			
1479848725697.00	45	0	1	196	0	299874.83	889530																			
1479848725707.00	46	0	1	196	0	299874.83	846672.86																			
1479848725719.00	47	0	1	196	0	289530	889530																			
1479848725735.00	48	0	1	196	0	299874.83	889530																			
1479848725750.00	49	0	1	196	0	299874.83	846672.86																			
1479848725760.00	50	0	1	196	0	299874.83	846672.86																			oi8
1479848725772.00	51	0	1	196	0	294614.75	936898.42																			
1479848725789.00	52	0	1	196	0	289530	889530																			
1479848725797.00	53	0	1	196	0	299874.83	889530																			
1479848725812.00	54	0	1	196	0	294614.75	889530																			
1479848725822.00	55	0	1	196	0	289530	889530																			
1479848725833.00	56	0	1	196	0	294614.75	846672.86																			
1479848725852.00	57	0	1	196	0	299874.83	889530																			
1479848725868.00	58	0	1	196	0	294614.75	889530																			
1479848725877.00	59	0	1	196	0	299874.83	889530																			
1479848725889.00	60	0	1	196	0	294614.75	846672.86																			
1479848725910.00	61	0	1	196	0	294614.75	889530																			
1479848725922.00	62	0	1	196	0	294614.75	846672.86																			
1479848725932.00	63	0	1	196	0	294614.75	936898.42																			
1479848725950.00	64	0	1	196	0	299874.83	889530																			
1479848725965.00	65	0	1	196	0	299874.83	889530																			
1479848725975.00	66	0	2	196	0	294614.75	889530																			
1479848725985.00	67	0	2	196	0	284611.97	846672.86																			
1479848726000.00	68	0	2	196	0	305319.47	889530																			
1479848726017.00	69	0	2	196	0	299874.83	936898.42																			
1479848726028.00	70	0	2	196	0	289530	846672.86																			
1479848726038.00	71	0	2	196	0	299874.83	889530																			
1479848726058.00	72	0	2	196	0	294614.75	889530																			
1479848726073.00	73	0	2	196	0	299874.83	936898.42																			
1479848726083.00	74	0	2	196	0	289530	846672.86																			
1479848726094.00	75	0	2	196	0	299874.83	889530																			
1479848726110.00	76	0	2	196	0	299874.83	936898.42																			
1479848726123.00	77	0	2	196	0	305319.47	889530																			
1479848726135.00	78	0	2	196	0	289530	846672.86																			
1479848726147.00	79	0	2	196	0	289530	846672.86																			
1479848726162.00	80	0	2	196	0	294614.75	989530																			
