Serial_number:	-1231536963								
Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor		Desired 
1484787017248.0	0	0	0	196	0	35802.49	53134.24		
1484787017292.0	1	0	1	196	-0.484	36527.39	91224.92		
1484787017302.0	2	0	1	196	0	116290.56	236105.34		
1484787017320.0	3	0	1	196	-0.484	167747.82	709530		
1484787017334.0	4	0	1	196	0	189530	1114530		
1484787017351.0	5	0	1	196	2.419	217378.1	1114530		
1484787017370.0	6	0	1	196	23.705	206397.47	772138.7		
1484787017382.0	7	0	1	196	14.029	226372.11	1489530		
1484787017398.0	8	0	1	196	0	250399.57	1489530		
1484787017418.0	9	0	1	196	0	246672.86	1189530		
1484787017431.0	10	0	1	196	0	262257.27	1489530		
1484787017448.0	11	0	1	196	0	254235.88	1275244.29		
1484787017462.0	12	0	1	196	0	250399.57	1489530		
1484787017480.0	13	0	1	196	0	246672.86	1625893.64		
1484787017497.0	14	0	1	196	0	254235.88	1489530		
1484787017514.0	15	0	1	196	0	262257.27	1625893.64		
1484787017527.0	16	0	1	196	0	254235.88	1625893.64		
1484787017539.0	17	0	1	196	0	258186.72	1625893.64		
1484787017552.0	18	0	1	196	0	258186.72	1489530		
1484787017561.0	19	0	1	196	0	254235.88	1789530		
1484787017574.0	20	0	1	196	0	254235.88	1789530		
1484787017581.0	21	0	1	196	0	258186.72	1625893.64		
1484787017588.0	22	0	1	196	0	254235.88	1625893.64		
1484787017600.0	23	0	1	196	0	266453.08	1789530		
1484787017607.0	24	0	1	196	0	262257.27	1989530		
1484787017622.0	25	0	1	196	0	262257.27	1625893.64		
1484787017628.0	26	0	1	196	0	258186.72	1789530		
1484787017636.0	27	0	1	196	0	258186.72	1789530		
1484787017647.0	28	0	1	196	0	258186.72	1625893.64		
1484787017659.0	29	0	1	196	0	258186.72	1789530		
1484787017665.0	30	0	1	196	0	254235.88	1374145.38		
1484787017677.0	31	0	1	196	0	258186.72	1489530		
1484787017689.0	32	0	1	196	0	262257.27	1625893.64		
1484787017699.0	33	0	1	196	0	275244.29	1625893.64		
1484787017703.0	34	0	1	196	0	289530	1625893.64		
1484787017716.0	35	0	1	196	0	294614.75	1489530		
1484787017724.0	36	0	1	196	0	284611.97	1789530		
1484787017730.0	37	0	1	196	0	294614.75	1489530		
1484787017749.0	38	0	1	196	0	299874.83	1625893.64		
1484787017753.0	39	0	1	196	0	299874.83	1374145.38		
1484787017758.0	40	0	1	196	0	294614.75	1489530		
1484787017765.0	41	0	1	196	0	289530	1489530		
1484787017773.0	42	0	1	196	0	284611.97	1374145.38		
1484787017785.0	43	0	2	196	0	284611.97	1625893.64		
1484787017794.0	44	0	2	196	0	279852.58	1489530		
1484787017803.0	45	0	2	196	0	284611.97	1489530		
1484787017807.0	46	0	2	196	0	284611.97	1489530		
1484787017818.0	47	0	2	196	0	284611.97	1374145.38		
1484787017821.0	48	0	2	196	0	279852.58	1489530		
1484787017828.0	49	0	2	196	0	284611.97	1625893.64		
1484787017835.0	50	0	2	196	0	270780	1374145.38		
1484787017847.0	51	0	2	196	0	275244.29	1374145.38		
1484787017854.0	52	0	2	196	0	270780	1489530		
1484787017861.0	53	0	2	196	0	270780	1374145.38		
1484787017868.0	54	0	2	196	0	270780	1489530		
1484787017875.0	55	0	2	196	0	270780	1489530		
1484787017882.0	56	0	2	196	0	266453.08	1275244.29		
1484787017893.0	57	0	2	196	0	266453.08	1374145.38		
1484787017897.0	58	0	2	196	0	262257.27	1374145.38		
1484787017904.0	59	0	2	196	0	262257.27	1625893.64		
1484787017913.0	60	0	2	196	0	262257.27	1489530		
1484787017917.0	61	0	2	196	0	266453.08	1374145.38		
1484787017926.0	62	0	2	196	0	266453.08	1489530		
1484787017930.0	63	0	2	196	0	266453.08	1489530		
1484787017941.0	64	0	2	196	0	258186.72	1374145.38		
1484787017944.0	65	0	2	196	0	262257.27	1374145.38		
1484787017954.0	66	0	2	196	0	266453.08	1275244.29		
1484787017958.0	67	0	2	196	0	266453.08	1275244.29		
1484787017967.0	68	0	2	196	0	266453.08	1489530		
1484787017971.0	69	0	2	196	0.484	254235.88	1374145.38		
1484787017978.0	70	0	2	196	0	258186.72	1374145.38		
1484787017986.0	71	0	2	196	0	262257.27	1374145.38		
1484787017994.0	72	0	2	196	0	262257.27	1275244.29		
1484787018000.0	73	0	2	196	0.484	262257.27	1374145.38		
1484787018007.0	74	0	2	196	0	254235.88	1374145.38		
1484787018017.0	75	0	2	196	0	258186.72	1275244.29		
