Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor					
1484793015083	0	0	0	500	0.484	38310.49	71721.78		25		485	500
1484793015108	1	0	1	500	0	38310.49	71721.78		20		500	507
1484793015128	2	0	1	500	0	38178.65	72479.31		16			
1484793015144	3	0	1	500	0	40958.57	85786.68		5			
1484793015149	4	0	1	500	0	76486.52	262257.27		19			
1484793015168	5	0	1	500	0	142072.37	389530		15			
1484793015183	6	0	1	500	0	175097.01	589530		17			
1484793015200	7	0	1	500	0	201294.71	846672.86		13			
1484793015213	8	0	1	500	0	223296.23	1048353.53		25			
1484793015238	9	0	1	500	0	239530	1114530		13			
1484793015251	10	0	1	500	-0.484	250399.57	1048353.53		20			
1484793015271	11	0	1	500	-0.484	258186.72	1275244.29		11			
1484793015282	12	0	1	500	0	258186.72	1275244.29		10			
1484793015292	13	0	1	500	-0.484	262257.27	1275244.29		6			
1484793015298	14	0	1	500	0	266453.08	1275244.29		16			
1484793015314	15	0	1	500	0	258186.72	1275244.29		6			
1484793015320	16	0	1	500	-0.484	258186.72	1275244.29		11			
1484793015331	17	0	1	500	0	258186.72	1114530		16			
1484793015347	18	0	1	500	-0.484	262257.27	989530		13			
1484793015360	19	0	1	500	0	262257.27	1114530		10			
1484793015370	20	0	1	500	0	258186.72	1275244.29		8			
1484793015378	21	0	1	500	0	262257.27	1189530		12			
1484793015390	22	0	1	500	-0.484	254235.88	1275244.29		13			
1484793015403	23	0	1	500	0	258186.72	1189530		11			
1484793015414	24	0	1	500	0	258186.72	1189530		10			
1484793015424	25	0	1	500	0	266453.08	1189530		9			
1484793015433	26	0	1	500	0	258186.72	1275244.29		13			
1484793015446	27	0	1	500	0	258186.72	1275244.29		7			
1484793015453	28	0	1	500	0	254235.88	1048353.53		21			
1484793015474	29	0	1	500	0	258186.72	1275244.29		6			
1484793015480	30	0	1	500	0	250399.57	1189530		4			
1484793015484	31	0	1	500	0	254235.88	1048353.53		5			
1484793015489	32	0	1	500	0	262257.27	1275244.29		4			
1484793015493	33	0	1	500	0	254235.88	1275244.29		5			
1484793015498	34	0	1	500	0	258186.72	1189530		4			
1484793015502	35	0	1	500	0	254235.88	1275244.29		10			
1484793015512	36	0	1	500	0	262257.27	1189530		11			
1484793015523	37	0	1	500	0	254235.88	1048353.53		8			
1484793015531	38	0	1	500	0	258186.72	1275244.29		4			
1484793015535	39	0	1	500	0	254235.88	1275244.29		6			
1484793015541	40	0	1	500	0	254235.88	1374145.38		9			
1484793015550	41	0	1	500	0	262257.27	1189530		8			
1484793015558	42	0	1	500	0	254235.88	1114530		8			
1484793015566	43	0	1	500	0	258186.72	1189530		6			
1484793015572	44	0	1	500	0	254235.88	1189530		4			
1484793015576	45	0	1	500	0	258186.72	1275244.29		7			
1484793015583	46	0	1	500	0	250399.57	1114530		6			
1484793015589	47	0	1	500	0	258186.72	1189530		4			
1484793015593	48	0	1	500	0	262257.27	1189530		6			
1484793015599	49	0	2	500	0	258186.72	1374145.38		12			
1484793015611	50	0	2	500	0	258186.72	1275244.29		6			
1484793015617	51	0	2	500	0	258186.72	1189530		6			
1484793015623	52	0	2	500	0	258186.72	1189530		6			
1484793015629	53	0	2	500	0	258186.72	1189530		12			
1484793015641	54	0	2	500	0	254235.88	1275244.29		6			
1484793015647	55	0	2	500	0	254235.88	1189530		6			
1484793015653	56	0	2	500	0	254235.88	1189530		7			
1484793015660	57	0	2	500	0	254235.88	1114530		4			
1484793015664	58	0	2	500	0	254235.88	1048353.53		6			
1484793015670	59	0	2	500	0	254235.88	1189530		4			
1484793015674	60	0	2	500	0	262257.27	1275244.29		12			
1484793015686	61	0	2	500	0	254235.88	1048353.53		7			
1484793015693	62	0	2	500	0	250399.57	1275244.29		8			
1484793015701	63	0	2	500	0	254235.88	1114530		4			
1484793015705	64	0	2	500	0	254235.88	1275244.29		10			
1484793015715	65	0	2	500	0	250399.57	1189530		10			
1484793015725	66	0	2	500	0	254235.88	1114530		7			
1484793015732	67	0	2	500	0	254235.88	1189530		4			
1484793015736	68	0	2	500	0	250399.57	1189530		7			
1484793015743	69	0	2	500	0	254235.88	1189530		6			
1484793015749	70	0	2	500	0	258186.72	1189530		4			
1484793015753	71	0	2	500	0	254235.88	1275244.29		7			
1484793015760	72	0	2	500	0	254235.88	1114530		12			
1484793015772	73	0	2	500	0	250399.57	1189530		11			
1484793015783	74	0	2	500	0	250399.57	1275244.29		6			
1484793015789	75	0	2	500	0	254235.88	1114530		4			
1484793015793	76	0	2	500	0	250399.57	1114530		12			
1484793015805	77	0	2	500	0	254235.88	1189530		8			
1484793015813	78	0	2	500	0	250399.57	1114530		9			
1484793015822	79	0	2	500	0	246672.86	1114530		4			
1484793015826	80	0	2	500	0	254235.88	1114530		6			
1484793015832	81	0	2	500	0	250399.57	1114530		4			
1484793015836	82	0	2	500	0	250399.57	1114530		6			
1484793015842	83	0	2	500	0	246672.86	1048353.53		4			
1484793015846	84	0	2	500	0	254235.88	1114530		11			
1484793015857	85	0	2	500	0	246672.86	1114530		9			
1484793015866	86	0	2	500	0	250399.57	989530		6			
1484793015872	87	0	2	500	0	250399.57	1114530		9			
1484793015881	88	0	2	500	0	250399.57	989530		9			
1484793015890	89	0	2	500	0	250399.57	1048353.53		5			
1484793015895	90	0	2	500	0	250399.57	989530		7			
1484793015902	91	0	2	500	0	254235.88	1048353.53		4			
1484793015906	92	0	2	500	0	250399.57	989530		10			
1484793015916	93	0	2	500	0	250399.57	989530		16			
1484793015932	94	0	2	500	0	246672.86	1048353.53		12			
1484793015944	95	0	2	500	0	246672.86	989530		6			
1484793015950	96	0	2	500	0	250399.57	989530		8			
1484793015958	97	0	2	500	0	243051.13	989530		24			
1484793015982	98	0	2	500	0	243051.13	936898.42		4			
1484793015986	99	0	2	500	0	243051.13	989530		7			
1484793015993	100	0	2	500	0	246672.86	936898.42		7			
1484793016000	101	0	2	500	0	250399.57	936898.42		15			
1484793016015	102	0	2	500	0	250399.57	936898.42		17			
1484793016032	103	0	2	500	0	243051.13	936898.42		11			
1484793016043	104	0	2	500	0	246672.86	1048353.53		4			
1484793016047	105	0	2	500	0	246672.86	846672.86		16			
1484793016063	106	0	2	500	0	243051.13	989530		5			
1484793016068	107	0	2	500	0	250399.57	889530		18			
1484793016086	108	0	2	500	0	254235.88	989530		7			
1484793016093	109	0	2	500	0	239530	989530		6			
1484793016099	110	1	2	500	0	243051.13	889530		9			
1484793016108	111	1	1	500	0	250399.57	889530		4			
1484793016112	112	1	1	500	0	243051.13	936898.42		4			
1484793016116	113	1	1	500	0	250399.57	989530		5			
1484793016121	114	1	1	500	0	246672.86	889530		13			
1484793016134	115	1	1	500	0	250399.57	936898.42		6			
1484793016140	116	1	1	500	0	246672.86	936898.42		4			
1484793016144	117	1	1	500	0	246672.86	989530		14			
1484793016158	118	1	1	500	0	243051.13	989530		11			
1484793016169	119	1	1	500	0	254235.88	846672.86		4			
1484793016173	120	1	1	500	0	262257.27	889530		9			
1484793016182	121	1	1	500	0	254235.88	889530		4			
1484793016186	122	1	1	500	-0.484	250399.57	889530		6			
1484793016192	123	1	1	500	-0.484	250399.57	889530		12			
1484793016204	124	1	1	500	4.354	254235.88	889530		6			
1484793016210	125	1	1	500	14.029	246672.86	889530		4			
1484793016214	126	1	1	500	22.253	246672.86	846672.86		7			
1484793016221	127	1	1	500	14.029	250399.57	846672.86		5			
1484793016226	128	1	1	500	4.838	250399.57	846672.86		6			
1484793016232	129	1	1	500	-0.484	254235.88	989530		12			
1484793016244	130	1	1	500	-0.484	254235.88	936898.42		6			
1484793016250	131	1	1	500	0	250399.57	936898.42		6			
1484793016256	132	1	1	500	0	243051.13	889530		6			
1484793016262	133	1	1	500	-0.484	250399.57	936898.42		4			
1484793016266	134	1	1	500	-0.484	250399.57	936898.42		11			
1484793016277	135	1	1	500	-0.484	243051.13	846672.86		4			
1484793016281	136	1	1	500	0	243051.13	936898.42		4			
1484793016285	137	1	1	500	-0.484	239530	936898.42		10			
1484793016295	138	1	1	500	-0.484	243051.13	889530		8			
1484793016303	139	1	1	500	-0.484	239530	936898.42		6			
1484793016309	140	1	1	500	0	243051.13	846672.86		7			
1484793016316	141	1	1	500	-0.484	243051.13	846672.86		4			
1484793016320	142	1	1	500	-0.484	243051.13	936898.42		4			
1484793016324	143	1	1	500	0	243051.13	936898.42		4			
1484793016328	144	1	1	500	0	246672.86	936898.42		4			
1484793016332	145	1	1	500	-0.484	243051.13	889530		4			
1484793016336	146	1	1	500	-0.484	239530	936898.42		4			
1484793016340	147	1	1	500	-0.484	239530	889530		9			
1484793016349	148	1	1	500	-0.484	239530	889530		8			
1484793016357	149	1	1	500	-0.484	239530	889530		4			
1484793016361	150	1	1	500	-0.484	239530	989530		4			
1484793016365	151	1	1	500	0	239530	989530		9			
1484793016374	152	1	1	500	0	236105.34	1189530		7			
1484793016381	153	1	1	500	0	236105.34	2989530		6			
1484793016387	154	1	1	500	0	226372.11	5989530		4			
1484793016391	155	1	1	500	-0.484	169530	503815.71		4			
1484793016395	156	1	1	500	-0.484	120916.86	67116.21		4			
1484793016399	157	1	1	500	0	67116.21	46672.86		4			
1484793016403	158	1	1	500	17.899	47222.31	35565.81		4			
1484793016407	159	1	1	500	35.799	37023.4	27584.97		4			
1484793016411	160	1	1	500	52.731	28917.31	22987.25		3			
1484793016414	161	1	1	500	71.114	17350.71	9073.97		9			
1484793016423	162	1	1	500	106.429	12666.25	57454.53		8			
1484793016431	163	1	1	500	132.069	10781.48	33756.04		4			
1484793016435	164	1	1	500	148.517	9891.99	10077.95		8			
1484793016443	165	1	1	500	177.06	8182.85	8843.3		8			
1484793016451	166	1	1	500	206.086	7711.82	5893.64		6			
1484793016457	167	1	1	500	223.502	6656.55	13059.41		10			
1484793016467	168	1	1	500	250.593	6305.4	29619.09		4			
1484793016471	169	1	1	500	263.171	6089.34	589530		4			
1484793016475	170	1	1	500	274.781	5908.53	35921.75		4			
1484793016479	171	1	1	500	283.973	5804.86	8864.05		4			
1484793016483	172	1	1	500	292.681	5630.18	56444.5		4			
1484793016487	173	1	1	500	300.905	5431.06	8989530		7			
1484793016494	174	1	1	500	316.869	4980.64	17989530		9			
1484793016503	175	1	1	500	336.22	4849.15	17989530		4			
1484793016507	176	1	1	500	343.96	4771.32	17989530		4			
1484793016511	177	1	1	500	351.217	4656.05	inf		12			
1484793016523	178	1	1	500	370.084	4381.49	inf		4			
1484793016527	179	1	1	500	376.373	4296.2	17989530		6			
1484793016533	180	1	1	500	385.564	4187.98	17989530		4			
