Serial_number: -1717986918 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1484939587243 0 0 0 196.000 0.000 49530.00 46672.86
1484939587300 1 0 1 196.000 0.484 49530.00 46492.03
1484939587318 2 0 1 196.000 -0.484 49330.66 46492.03
1484939587342 3 0 1 196.000 -0.484 71348.18 80900.56
1484939587360 4 0 1 196.000 -0.968 109530.00 329152.64
1484939587489 5 0 1 196.000 -0.484 229530.00 1189530.00
1484939587597 6 0 1 196.000 -0.484 232773.24 1189530.00
1484939587605 7 0 1 196.000 -0.484 239530.00 1189530.00
1484939587617 8 0 1 196.000 -0.484 232773.24 1275244.29
1484939587626 9 0 1 196.000 -0.484 236105.34 1275244.29
1484939587634 10 0 1 196.000 -0.484 229530.00 1189530.00
1484939587642 11 0 1 196.000 -0.484 232773.24 1275244.29
1484939587649 12 0 1 196.000 -0.968 229530.00 1189530.00
1484939587768 13 0 1 196.000 -0.484 232773.24 1275244.29
1484939587869 14 0 1 196.000 -0.968 226372.11 1114530.00
1484939587975 15 0 2 196.000 -0.484 229530.00 1189530.00
1484939588084 16 0 2 196.000 -0.484 226372.11 1275244.29
1484939588091 17 0 2 196.000 -0.484 226372.11 1189530.00
1484939588099 18 0 2 196.000 -0.484 223296.23 1189530.00
1484939588106 19 0 2 196.000 -0.484 229530.00 1189530.00
1484939588113 20 0 2 196.000 -0.484 226372.11 1189530.00
1484939588119 21 0 2 196.000 -0.484 223296.23 1189530.00
1484939588126 22 0 2 196.000 -0.484 226372.11 1114530.00
1484939588133 23 0 2 196.000 -0.484 226372.11 1189530.00
1484939588140 24 0 2 196.000 -0.484 226372.11 1114530.00
1484939588147 25 0 2 196.000 -0.484 229530.00 1189530.00
1484939588153 26 0 2 196.000 -0.968 226372.11 1114530.00
1484939588257 27 0 2 196.000 -0.484 226372.11 989530.00
1484939588369 28 0 2 196.000 -0.484 226372.11 889530.00
1484939588376 29 1 2 196.000 -0.484 229530.00 989530.00
1484939588385 30 1 1 196.000 -0.484 229530.00 989530.00
1484939588391 31 1 1 196.000 -0.484 229530.00 989530.00
1484939588399 32 1 1 196.000 -0.484 226372.11 989530.00
1484939588406 33 1 1 196.000 -0.484 223296.23 989530.00
1484939588413 34 1 1 196.000 -0.484 226372.11 989530.00
1484939588419 35 1 1 196.000 -0.484 226372.11 989530.00
1484939588426 36 1 1 196.000 -0.484 229530.00 989530.00
1484939588433 37 1 1 196.000 -0.484 229530.00 936898.42
1484939588440 38 1 1 196.000 -0.484 239530.00 989530.00
1484939588447 39 1 1 196.000 -0.484 239530.00 889530.00
1484939588454 40 1 1 196.000 -0.484 232773.24 936898.42
1484939588461 41 1 1 196.000 -0.968 232773.24 936898.42
1484939588569 42 1 1 196.000 -0.968 232773.24 889530.00
1484939588576 43 1 1 196.000 -0.484 229530.00 889530.00
1484939588682 44 1 1 196.000 -0.968 167747.82 153166.36
1484939588784 45 1 1 196.000 161.095 8537.39 108735.30
1484939588901 46 1 1 196.000 222.050 6305.40 38178.65
1484939588908 47 1 2 196.000 221.566 6321.04 39116.78
1484939588916 48 1 2 196.000 225.437 6258.62 28745.69
1484939588923 49 1 2 196.000 223.018 6212.11 25967.25
1484939588930 50 1 2 196.000 223.985 6181.25 61819.16
1484939588936 51 1 2 196.000 222.534 6165.86 46854.84
1484939588943 52 1 2 196.000 208.988 6181.25 75244.29
1484939588950 53 1 2 196.000 188.186 6383.93 10484.60
1484939588957 54 1 2 196.000 166.417 6640.27 6289.78
1484939588964 55 1 2 196.000 141.744 7005.73 27827.87
1484939588970 56 1 2 196.000 119.975 7458.29 10291.25
1484939588977 57 1 2 196.000 97.238 8048.52 12257.27
1484939588984 58 1 2 196.000 76.919 8905.67 16315.71
1484939588991 59 1 2 196.000 57.085 10291.25 12876.30
1484939588997 60 1 2 196.000 38.218 12143.07 18798.29
1484939589004 61 1 2 196.000 21.286 14810.90 29003.68
1484939589011 62 1 2 196.000 6.773 18989.90 27991.54
1484939589018 63 1 2 196.000 -0.968 26490.99 37787.37
1484939589126 64 1 2 196.000 -0.968 232773.24 889530.00
1484939589133 65 1 2 196.000 -0.484 232773.24 936898.42
1484939589234 66 1 2 196.000 -0.484 284611.97 1114530.00
1484939589241 67 1 2 196.000 -0.484 284611.97 1114530.00
1484939589256 68 1 2 196.000 -0.968 275244.29 1048353.53
1484939589391 69 1 2 196.000 -0.484 270780.00 1114530.00
1484939589509 70 2 2 196.000 -0.484 258186.72 1275244.29
1484939589516 71 2 1 196.000 -0.484 262257.27 1189530.00
1484939589524 72 2 1 196.000 -0.484 258186.72 1189530.00
1484939589531 73 2 1 196.000 -0.484 262257.27 1189530.00
1484939589538 74 2 1 196.000 -0.484 258186.72 1189530.00
1484939589545 75 2 1 196.000 -0.484 262257.27 1189530.00
1484939589552 76 2 1 196.000 -0.484 254235.88 1275244.29
1484939589558 77 2 1 196.000 -0.484 266453.08 1114530.00
1484939589565 78 2 1 196.000 -0.968 258186.72 1114530.00
1484939589660 79 2 1 196.000 -0.484 258186.72 1275244.29
1484939589773 80 2 1 196.000 -0.484 246672.86 1374145.38
1484939589781 81 2 1 196.000 -0.968 246672.86 1189530.00
1484939589891 82 2 1 196.000 128.683 9868.98 17137.36
1484939590004 83 2 1 196.000 220.115 6415.55 8760.77
1484939590011 84 2 1 196.000 222.050 6368.17 22020.97
1484939590018 85 2 1 196.000 224.469 6274.19 8968.44
1484939590122 86 2 2 196.000 19.351 15098.18 22618.24
1484939590226 87 2 2 196.000 -0.484 209042.20 772138.70
1484939590233 88 2 2 196.000 -0.968 217378.10 846672.86
1484939590339 89 2 2 196.000 -0.968 275244.29 1189530.00
1484939590346 90 2 2 196.000 -0.484 284611.97 1189530.00
1484939590443 91 2 2 196.000 -0.484 270780.00 1114530.00
1484939590450 92 2 2 196.000 -0.484 266453.08 1114530.00
1484939590458 93 2 2 196.000 -0.968 270780.00 1114530.00
1484939590557 94 3 2 196.000 -0.484 270780.00 1114530.00
