Serial_number: 0 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1484942452348 0 0 0 196.000 0.000 42008.13 34417.78
1484942452379 1 0 1 196.000 0.000 41855.58 34417.78
1484942452386 2 0 1 196.000 -0.484 42161.58 34530.00
1484942452400 3 0 1 196.000 -0.484 41855.58 34417.78
1484942452412 4 0 1 196.000 0.000 42008.13 34417.78
1484942452420 5 0 1 196.000 -0.484 41703.91 34530.00
1484942452432 6 0 1 196.000 -0.484 45780.00 79082.24
1484942452444 7 0 1 196.000 -0.484 102737.55 220299.23
1484942452458 8 0 1 196.000 -0.968 175097.01 610219.66
1484942452471 9 0 1 196.000 -0.968 196426.55 846672.86
1484942452483 10 0 1 196.000 -0.484 196426.55 989530.00
1484942452495 11 0 1 196.000 -0.968 217378.10 989530.00
1484942452510 12 0 1 196.000 -0.484 226372.11 1114530.00
1484942452516 13 0 1 196.000 -0.484 226372.11 1114530.00
1484942452527 14 0 1 196.000 -0.484 226372.11 1048353.53
1484942452539 15 0 1 196.000 -0.968 229530.00 1189530.00
1484942452553 16 0 1 196.000 -0.484 232773.24 1189530.00
1484942452557 17 0 1 196.000 -0.484 232773.24 1275244.29
1484942452562 18 0 1 196.000 -0.484 229530.00 1048353.53
1484942452571 19 0 1 196.000 -0.484 229530.00 1189530.00
1484942452576 20 0 1 196.000 -0.484 236105.34 1275244.29
1484942452581 21 0 1 196.000 -0.968 232773.24 1275244.29
1484942452586 22 0 1 196.000 -0.484 232773.24 1374145.38
1484942452589 23 0 1 196.000 -0.968 232773.24 1189530.00
1484942452593 24 0 1 196.000 -0.968 239530.00 1275244.29
1484942452596 25 0 1 196.000 -0.484 232773.24 1275244.29
1484942452600 26 0 1 196.000 -0.968 229530.00 1275244.29
1484942452603 27 0 1 196.000 -0.968 236105.34 1275244.29
1484942452606 28 0 1 196.000 -0.484 232773.24 1275244.29
1484942452610 29 0 1 196.000 -0.968 236105.34 1275244.29
1484942452613 30 0 1 196.000 -0.484 236105.34 1374145.38
1484942452617 31 0 1 196.000 -0.968 232773.24 1275244.29
1484942452620 32 0 1 196.000 -0.968 236105.34 1275244.29
1484942452623 33 0 1 196.000 -0.968 236105.34 1275244.29
1484942452627 34 0 1 196.000 -0.968 236105.34 1275244.29
1484942452630 35 0 1 196.000 -0.968 236105.34 1189530.00
1484942452633 36 0 1 196.000 -0.484 236105.34 1189530.00
1484942452637 37 0 1 196.000 -0.968 236105.34 1275244.29
1484942452640 38 0 1 196.000 -0.968 239530.00 1374145.38
1484942452644 39 0 1 196.000 -0.484 239530.00 1275244.29
1484942452647 40 0 1 196.000 -0.484 236105.34 1275244.29
1484942452650 41 0 1 196.000 -0.484 236105.34 1275244.29
1484942452654 42 0 1 196.000 -0.968 236105.34 1374145.38
1484942452657 43 0 1 196.000 -0.968 236105.34 1374145.38
