Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor
1.48495E+12	0	0	0	196	0	39950.17	35565.81
1.48495E+12	1	0	1	196	0	40091.8	35565.81
1.48495E+12	2	0	1	196	0.484	41703.91	36527.39
1.48495E+12	3	0	1	196	0	46133.77	38178.65
1.48495E+12	4	0	1	196	-0.968	57454.53	589530
1.48495E+12	5	0	1	196	-0.484	171348.18	1189530
1.48495E+12	6	0	1	196	-0.968	211752.22	1275244.29
1.48495E+12	7	0	1	196	-0.484	220299.23	1374145.38
1.48495E+12	8	0	1	196	-0.484	229530	1625893.64
1.48495E+12	9	0	1	196	-0.484	226372.11	1625893.64
1.48495E+12	10	0	1	196	-0.968	236105.34	1625893.64
1.48495E+12	11	0	1	196	-0.484	236105.34	1489530
1.48495E+12	12	0	1	196	-0.484	239530	1625893.64
1.48495E+12	13	0	1	196	-0.968	236105.34	1374145.38
1.48495E+12	14	0	1	196	-0.968	236105.34	1489530
1.48495E+12	15	0	1	196	-0.484	236105.34	1374145.38
1.48495E+12	16	0	1	196	-0.968	236105.34	1489530
1.48495E+12	17	0	1	196	-0.968	236105.34	1489530
1.48495E+12	18	0	1	196	-0.968	239530	1374145.38
1.48495E+12	19	0	1	196	-0.968	232773.24	1625893.64
1.48495E+12	20	0	1	196	-0.968	232773.24	1789530
1.48495E+12	21	0	1	196	-0.968	239530	1625893.64
1.48495E+12	22	0	1	196	-0.484	236105.34	1625893.64
1.48495E+12	23	0	1	196	-0.968	236105.34	1789530
1.48495E+12	24	0	1	196	-0.484	236105.34	1789530
1.48495E+12	25	0	1	196	-0.968	236105.34	1625893.64
1.48495E+12	26	0	1	196	-0.484	236105.34	1789530
1.48495E+12	27	0	1	196	-0.968	232773.24	1625893.64
1.48495E+12	28	0	1	196	-0.484	232773.24	1625893.64
1.48495E+12	29	0	1	196	-0.968	232773.24	1625893.64
1.48495E+12	30	0	1	196	-0.968	229530	1625893.64
1.48495E+12	31	0	1	196	-0.484	232773.24	1625893.64
1.48495E+12	32	0	1	196	-0.968	236105.34	1489530
1.48495E+12	33	0	1	196	-0.968	239530	1489530
1.48495E+12	34	0	1	196	-0.968	232773.24	1625893.64
1.48495E+12	35	0	1	196	-0.484	236105.34	1625893.64
1.48495E+12	36	0	1	196	-0.968	236105.34	1625893.64
1.48495E+12	37	0	1	196	-0.968	236105.34	1489530
1.48495E+12	38	0	1	196	-0.968	232773.24	1489530
