Serial_number: 140 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1484939361550 0 0 0 196.000 -0.969 8989530.00 inf
1484939361609 1 0 1 196.000 -0.484 inf 3589530.00
1484939361635 2 0 1 196.000 -0.484 inf 17989530.00
1484939361662 3 0 1 196.000 -0.484 inf 8989530.00
1484939361688 4 0 1 196.000 -0.969 8989530.00 3589530.00
1484939361702 5 0 1 196.000 -0.969 17989530.00 8989530.00
1484939361717 6 0 1 196.000 -0.969 inf 8989530.00
1484939361730 7 0 1 196.000 -0.484 17989530.00 4489530.00
1484939361745 8 0 1 196.000 -0.484 8989530.00 5989530.00
1484939361758 9 0 1 196.000 -0.969 17989530.00 17989530.00
1484939361774 10 0 1 196.000 -0.484 17989530.00 4489530.00
1484939361791 11 0 1 196.000 -0.484 inf inf
1484939361805 12 0 1 196.000 -0.484 17989530.00 inf
1484939361821 13 0 1 196.000 -0.484 8989530.00 5989530.00
1484939361836 14 0 1 196.000 -0.484 17989530.00 17989530.00
1484939361851 15 0 1 196.000 -0.969 17989530.00 inf
1484939361863 16 0 1 196.000 -0.484 17989530.00 17989530.00
1484939361872 17 0 1 196.000 -0.484 17989530.00 3589530.00
1484939361880 18 0 1 196.000 -0.484 8989530.00 8989530.00
1484939361888 19 0 1 196.000 -0.484 17989530.00 5989530.00
1484939361896 20 0 1 196.000 -0.484 17989530.00 8989530.00
1484939361903 21 0 1 196.000 -0.969 17989530.00 5989530.00
1484939361911 22 0 1 196.000 -0.484 17989530.00 17989530.00
1484939361919 23 0 1 196.000 -0.484 17989530.00 5989530.00
1484939361927 24 0 1 196.000 -0.484 inf 3589530.00
1484939361935 25 0 1 196.000 -0.969 17989530.00 5989530.00
1484939361942 26 0 1 196.000 -0.484 17989530.00 5989530.00
1484939361950 27 0 1 196.000 -0.484 17989530.00 4489530.00
1484939361958 28 0 1 196.000 -0.969 17989530.00 5989530.00
1484939361967 29 0 1 196.000 -0.969 17989530.00 8989530.00
1484939361975 30 0 1 196.000 -0.969 17989530.00 8989530.00
1484939361983 31 0 1 196.000 -0.484 5989530.00 5989530.00
1484939361991 32 0 1 196.000 -0.969 8989530.00 5989530.00
1484939361999 33 0 1 196.000 -0.484 17989530.00 17989530.00
1484939362007 34 0 1 196.000 -0.969 17989530.00 5989530.00
1484939362015 35 0 1 196.000 -0.969 17989530.00 4489530.00
1484939362025 36 0 1 196.000 -0.484 inf 17989530.00
1484939362032 37 0 1 196.000 -0.484 17989530.00 8989530.00
1484939362038 38 0 1 196.000 -0.484 17989530.00 inf
1484939362045 39 0 1 196.000 -0.484 17989530.00 5989530.00
1484939362052 40 0 1 196.000 -0.484 17989530.00 inf
1484939362059 41 0 1 196.000 -0.484 17989530.00 4489530.00
1484939362066 42 0 1 196.000 -0.484 17989530.00 4489530.00
1484939362072 43 0 1 196.000 -0.969 17989530.00 3589530.00
1484939362079 44 0 1 196.000 -0.484 inf inf
1484939362086 45 0 2 196.000 -0.969 inf inf
