Serial_number: -1717986918 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1487881672127 0 0 0 140.000 0.000 inf 17989530.00
1487881672181 1 0 1 140.000 0.000 5989530.00 inf
1487881672209 2 0 1 140.000 -0.484 17989530.00 4489530.00
1487881672237 3 0 1 140.000 0.000 17989530.00 17989530.00
1487881672250 4 0 1 140.000 -0.484 17989530.00 inf
1487881672263 5 0 1 140.000 0.000 17989530.00 inf
1487881672273 6 0 1 140.000 -0.484 inf 5989530.00
1487881672281 7 0 1 140.000 -0.484 8989530.00 inf
1487881672289 8 0 1 140.000 -0.484 17989530.00 8989530.00
1487881672297 9 0 1 140.000 -0.484 17989530.00 5989530.00
1487881672305 10 0 1 140.000 -0.484 17989530.00 17989530.00
1487881672313 11 0 1 140.000 -0.484 17989530.00 5989530.00
1487881672321 12 0 1 140.000 -0.484 inf 17989530.00
1487881672328 13 0 1 140.000 0.000 17989530.00 3589530.00
1487881672336 14 0 1 140.000 0.000 inf 8989530.00
1487881672344 15 0 1 140.000 -0.484 inf 5989530.00
1487881672352 16 0 1 140.000 0.000 17989530.00 8989530.00
1487881672360 17 0 1 140.000 0.000 inf 5989530.00
1487881672368 18 0 1 140.000 0.000 inf 8989530.00
1487881672375 19 0 1 140.000 -0.484 17989530.00 5989530.00
1487881672383 20 0 1 140.000 -0.484 17989530.00 inf
1487881672391 21 0 1 140.000 -0.484 17989530.00 17989530.00
1487881672399 22 0 1 140.000 0.000 inf 8989530.00
1487881672407 23 0 1 140.000 -0.484 5989530.00 17989530.00
1487881672414 24 0 1 140.000 -0.484 8989530.00 17989530.00
1487881672422 25 0 1 140.000 -0.484 17989530.00 5989530.00
1487881672430 26 0 1 140.000 0.000 inf 8989530.00
1487881672438 27 0 1 140.000 0.000 inf 5989530.00
1487881672446 28 0 1 140.000 0.000 17989530.00 inf
1487881672453 29 0 1 140.000 0.000 inf 5989530.00
1487881672461 30 0 1 140.000 0.000 17989530.00 inf
1487881672471 31 0 1 140.000 0.000 inf 8989530.00
1487881672478 32 0 1 140.000 0.000 17989530.00 17989530.00
1487881672485 33 0 1 140.000 -0.484 inf 8989530.00
1487881672492 34 0 1 140.000 0.000 17989530.00 inf
1487881672498 35 0 1 140.000 -0.484 inf 17989530.00
1487881672505 36 0 1 140.000 0.000 17989530.00 inf
1487881672512 37 0 1 140.000 -0.484 8989530.00 8989530.00
1487881672519 38 0 1 140.000 -0.484 17989530.00 8989530.00
1487881672525 39 0 1 140.000 -0.484 inf 17989530.00
1487881672532 40 0 1 140.000 0.000 inf 5989530.00
1487881672539 41 0 1 140.000 0.000 inf 8989530.00
1487881672546 42 0 1 140.000 -0.484 inf 5989530.00
1487881672563 43 0 1 140.000 0.000 inf inf
1487881672575 44 0 1 140.000 0.000 inf 5989530.00
1487881672586 45 0 1 140.000 0.000 inf inf
1487881672599 46 0 1 140.000 -0.484 17989530.00 17989530.00
1487881672614 47 0 1 140.000 0.000 inf 8989530.00
1487881672628 48 0 1 140.000 -0.484 17989530.00 17989530.00
1487881672636 49 0 1 140.000 -0.484 17989530.00 inf
1487881672643 50 0 1 140.000 -0.484 inf 4489530.00
1487881672650 51 0 1 140.000 0.000 inf 8989530.00
1487881672656 52 0 1 140.000 -0.484 inf 17989530.00
1487881672663 53 0 1 140.000 -0.484 17989530.00 5989530.00
1487881672670 54 0 1 140.000 -0.484 17989530.00 17989530.00
1487881672677 55 0 1 140.000 0.000 17989530.00 inf
1487881672683 56 0 1 140.000 -0.484 inf 17989530.00
1487881672690 57 0 1 140.000 0.000 inf 5989530.00
1487881672697 58 0 1 140.000 0.000 17989530.00 8989530.00
1487881672704 59 0 1 140.000 0.000 17989530.00 5989530.00
1487881672710 60 0 1 140.000 0.000 17989530.00 inf
1487881672717 61 0 1 140.000 0.000 inf 5989530.00
1487881672724 62 0 1 140.000 0.000 inf 8989530.00
1487881672731 63 0 1 140.000 -0.484 inf 8989530.00
1487881672737 64 0 1 140.000 0.000 inf 8989530.00
1487881672744 65 0 1 140.000 0.000 17989530.00 17989530.00
1487881672751 66 0 1 140.000 0.000 inf 17989530.00
1487881672758 67 0 1 140.000 -0.484 inf 8989530.00
1487881672764 68 0 1 140.000 0.000 inf 8989530.00
1487881672771 69 0 1 140.000 -0.484 17989530.00 8989530.00
1487881672778 70 0 1 140.000 -0.484 17989530.00 inf
1487881672785 71 0 1 140.000 -0.484 17989530.00 4489530.00
1487881672792 72 0 1 140.000 -0.484 5989530.00 5989530.00
1487881672799 73 0 1 140.000 0.000 inf 8989530.00
1487881672805 74 0 1 140.000 -0.484 17989530.00 4489530.00
1487881672812 75 0 1 140.000 -0.484 inf 17989530.00
1487881672819 76 0 1 140.000 0.000 17989530.00 4489530.00
1487881672826 77 0 1 140.000 0.000 17989530.00 17989530.00
1487881672833 78 0 1 140.000 -0.484 inf 4489530.00
1487881672839 79 0 1 140.000 0.000 inf 8989530.00
1487881672846 80 0 1 140.000 -0.484 17989530.00 8989530.00
1487881672853 81 0 1 140.000 -0.484 inf 5989530.00
1487881672860 82 0 1 140.000 0.000 17989530.00 17989530.00
1487881672866 83 0 1 140.000 0.000 inf inf
1487881672873 84 0 1 140.000 0.000 inf 8989530.00
1487881672880 85 0 1 140.000 -0.484 inf inf
1487881672887 86 0 1 140.000 -0.484 inf 4489530.00
1487881672893 87 0 1 140.000 -0.484 17989530.00 8989530.00
1487881672900 88 0 1 140.000 0.000 17989530.00 5989530.00
1487881672907 89 0 1 140.000 0.000 inf inf
1487881672914 90 0 1 140.000 -0.484 5989530.00 17989530.00
1487881672920 91 0 1 140.000 -0.484 inf 4489530.00
1487881672927 92 0 1 140.000 -0.484 inf 17989530.00
1487881672934 93 0 1 140.000 -0.484 17989530.00 4489530.00
1487881672941 94 0 1 140.000 0.000 inf 17989530.00
1487881672948 95 0 1 140.000 0.000 17989530.00 8989530.00
1487881672954 96 0 1 140.000 0.000 inf 8989530.00
1487881672961 97 0 1 140.000 0.000 inf 5989530.00
1487881672968 98 0 1 140.000 0.000 inf 8989530.00
1487881672975 99 0 1 140.000 -0.484 inf 4489530.00
1487881672981 100 0 1 140.000 0.000 inf 5989530.00
1487881672988 101 0 1 140.000 -0.484 inf 4489530.00
1487881672995 102 0 1 140.000 -0.484 inf inf
1487881673002 103 0 1 140.000 -0.484 17989530.00 5989530.00
1487881673008 104 0 1 140.000 0.000 inf 8989530.00
1487881673015 105 0 1 140.000 -0.484 17989530.00 8989530.00
1487881673022 106 0 1 140.000 0.000 17989530.00 17989530.00
1487881673029 107 0 1 140.000 0.000 inf inf
1487881673035 108 0 1 140.000 0.000 17989530.00 8989530.00
1487881673042 109 0 1 140.000 0.000 inf 8989530.00
1487881673049 110 0 1 140.000 0.000 inf inf
1487881673056 111 0 1 140.000 -0.484 inf inf
1487881673062 112 0 1 140.000 -0.484 inf 5989530.00
1487881673069 113 0 1 140.000 -0.484 17989530.00 inf
1487881673076 114 0 1 140.000 -0.484 inf 5989530.00
1487881673083 115 0 1 140.000 -0.484 inf 4489530.00
1487881673089 116 0 1 140.000 -0.484 8989530.00 inf
1487881673096 117 0 1 140.000 -0.484 17989530.00 3589530.00
1487881673103 118 0 1 140.000 -0.484 inf 17989530.00
1487881673110 119 0 1 140.000 -0.484 17989530.00 17989530.00
1487881673116 120 0 1 140.000 0.000 8989530.00 17989530.00
1487881673123 121 0 1 140.000 0.000 inf 8989530.00
1487881673130 122 0 1 140.000 0.000 inf 5989530.00
1487881673137 123 0 1 140.000 0.000 inf 5989530.00
1487881673143 124 0 1 140.000 0.000 inf 5989530.00
1487881673150 125 0 1 140.000 0.000 17989530.00 5989530.00
1487881673157 126 0 1 140.000 -0.484 inf inf
1487881673164 127 0 1 140.000 -0.484 inf 8989530.00
1487881673170 128 0 2 140.000 0.000 17989530.00 8989530.00
1487881673177 129 0 2 140.000 -0.484 inf 8989530.00
1487881673184 130 0 2 140.000 0.000 inf 5989530.00
1487881673191 131 0 2 140.000 0.000 17989530.00 inf
1487881673198 132 0 2 140.000 -0.484 inf 8989530.00
1487881673204 133 0 2 140.000 0.000 17989530.00 8989530.00
1487881673211 134 0 2 140.000 0.000 inf 4489530.00
1487881673218 135 0 2 140.000 -0.484 inf 8989530.00
1487881673224 136 0 2 140.000 -0.484 inf inf
1487881673231 137 0 2 140.000 -0.484 inf 5989530.00
1487881673238 138 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673245 139 0 2 140.000 0.000 8989530.00 8989530.00
1487881673251 140 0 2 140.000 0.000 17989530.00 5989530.00
1487881673258 141 0 2 140.000 -0.484 inf 5989530.00
1487881673265 142 0 2 140.000 -0.484 inf 8989530.00
1487881673272 143 0 2 140.000 0.000 inf 4489530.00
1487881673279 144 0 2 140.000 0.000 17989530.00 inf
1487881673285 145 0 2 140.000 0.000 inf 8989530.00
1487881673292 146 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673299 147 0 2 140.000 0.000 inf 5989530.00
1487881673306 148 0 2 140.000 0.000 inf 17989530.00
1487881673312 149 0 2 140.000 -0.484 inf 5989530.00
1487881673319 150 0 2 140.000 -0.484 inf inf
1487881673326 151 0 2 140.000 0.000 17989530.00 5989530.00
1487881673333 152 0 2 140.000 0.000 17989530.00 5989530.00
1487881673340 153 0 2 140.000 -0.484 inf inf
1487881673346 154 0 2 140.000 -0.484 inf 5989530.00
1487881673353 155 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673360 156 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673366 157 0 2 140.000 -0.484 inf 4489530.00
1487881673373 158 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673380 159 0 2 140.000 0.000 inf 8989530.00
1487881673387 160 0 2 140.000 -0.484 inf 17989530.00
1487881673394 161 0 2 140.000 -0.484 inf 5989530.00
1487881673400 162 0 2 140.000 -0.484 inf 5989530.00
1487881673407 163 0 2 140.000 -0.484 inf 8989530.00
1487881673414 164 0 2 140.000 -0.484 inf 5989530.00
1487881673421 165 0 2 140.000 -0.484 inf 17989530.00
1487881673427 166 0 2 140.000 -0.484 17989530.00 17989530.00
1487881673434 167 0 2 140.000 -0.484 17989530.00 inf
1487881673441 168 0 2 140.000 0.000 17989530.00 inf
1487881673448 169 0 2 140.000 0.000 inf 8989530.00
1487881673454 170 0 2 140.000 -0.484 inf 17989530.00
1487881673461 171 0 2 140.000 -0.484 inf 8989530.00
1487881673468 172 0 2 140.000 0.000 inf 17989530.00
1487881673475 173 0 2 140.000 -0.484 inf inf
1487881673481 174 0 2 140.000 -0.484 inf 4489530.00
1487881673488 175 0 2 140.000 -0.484 17989530.00 8989530.00
1487881673495 176 0 2 140.000 -0.484 inf 5989530.00
1487881673502 177 0 2 140.000 -0.484 17989530.00 inf
1487881673508 178 0 2 140.000 0.000 inf 8989530.00
1487881673515 179 0 2 140.000 -0.484 inf inf
1487881673522 180 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673529 181 0 2 140.000 -0.484 inf 5989530.00
1487881673535 182 0 2 140.000 -0.484 17989530.00 8989530.00
1487881673542 183 0 2 140.000 -0.484 inf inf
1487881673549 184 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673556 185 0 2 140.000 0.000 inf 5989530.00
1487881673563 186 0 2 140.000 0.000 17989530.00 5989530.00
1487881673569 187 0 2 140.000 0.000 17989530.00 5989530.00
1487881673576 188 0 2 140.000 -0.484 17989530.00 inf
1487881673583 189 0 2 140.000 0.000 inf 17989530.00
1487881673590 190 0 2 140.000 -0.484 inf 17989530.00
1487881673596 191 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673603 192 0 2 140.000 0.000 17989530.00 inf
1487881673610 193 0 2 140.000 -0.484 inf 5989530.00
1487881673617 194 0 2 140.000 0.000 17989530.00 8989530.00
1487881673624 195 0 2 140.000 0.000 inf 5989530.00
1487881673630 196 0 2 140.000 0.000 inf 17989530.00
1487881673637 197 0 2 140.000 -0.484 17989530.00 4489530.00
1487881673644 198 0 2 140.000 -0.484 inf 17989530.00
1487881673651 199 0 2 140.000 -0.484 inf 17989530.00
1487881673657 200 0 2 140.000 -0.484 17989530.00 5989530.00
1487881673664 201 0 2 140.000 0.000 inf 17989530.00
1487881673671 202 1 2 140.000 0.000 8989530.00 5989530.00
1487881673679 203 1 1 140.000 -0.484 inf 5989530.00
1487881673686 204 1 1 140.000 -0.484 inf 17989530.00
1487881673699 205 1 1 140.000 -0.484 17989530.00 4489530.00
1487881673707 206 1 1 140.000 -0.484 17989530.00 4489530.00
1487881673713 207 1 1 140.000 -0.484 17989530.00 inf
1487881673720 208 1 1 140.000 -0.484 17989530.00 inf
1487881673727 209 1 1 140.000 0.000 17989530.00 5989530.00
1487881673734 210 1 1 140.000 -0.484 inf 5989530.00
1487881673741 211 1 1 140.000 -0.484 17989530.00 inf
1487881673747 212 1 1 140.000 0.000 inf inf
1487881673754 213 1 1 140.000 -0.484 inf 8989530.00
1487881673761 214 1 1 140.000 -0.484 inf 8989530.00
1487881673768 215 1 1 140.000 0.000 17989530.00 8989530.00
1487881673774 216 1 1 140.000 -0.484 inf 5989530.00
1487881673781 217 1 1 140.000 -0.484 17989530.00 inf
1487881673788 218 1 1 140.000 -0.484 17989530.00 17989530.00
1487881673795 219 1 1 140.000 0.000 inf 8989530.00
1487881673802 220 1 1 140.000 0.000 inf 8989530.00
1487881673808 221 1 1 140.000 -0.484 inf inf
1487881673815 222 1 1 140.000 0.000 inf 8989530.00
1487881673822 223 1 1 140.000 0.000 inf 2989530.00
1487881673829 224 1 1 140.000 0.000 inf inf
1487881673835 225 1 1 140.000 -0.484 inf 5989530.00
1487881673842 226 1 1 140.000 -0.484 17989530.00 17989530.00
1487881673849 227 1 1 140.000 -0.484 8989530.00 8989530.00
1487881673856 228 1 1 140.000 0.000 8989530.00 5989530.00
1487881673862 229 1 1 140.000 0.000 17989530.00 inf
1487881673869 230 1 1 140.000 15.016 inf inf
1487881673876 231 1 1 140.000 22.283 17989530.00 5989530.00
1487881673883 232 1 1 140.000 27.611 inf inf
1487881673890 233 1 1 140.000 33.424 inf 5989530.00
1487881673896 234 1 1 140.000 40.205 17989530.00 8989530.00
1487881673903 235 1 1 140.000 46.503 17989530.00 8989530.00
1487881673910 236 1 1 140.000 51.831 17989530.00 5989530.00
1487881673916 237 1 1 140.000 57.159 inf inf
1487881673923 238 1 1 140.000 61.519 inf 5989530.00
1487881673930 239 1 1 140.000 66.363 inf inf
1487881673937 240 1 1 140.000 70.723 17989530.00 17989530.00
1487881673944 241 1 1 140.000 75.082 17989530.00 inf
1487881673951 242 1 1 140.000 78.958 inf 4489530.00
1487881673957 243 1 1 140.000 82.833 17989530.00 5989530.00
1487881673964 244 1 1 140.000 86.224 17989530.00 inf
1487881673971 245 1 1 140.000 89.614 17989530.00 17989530.00
1487881673978 246 1 1 140.000 92.521 17989530.00 8989530.00
1487881673985 247 1 1 140.000 95.912 17989530.00 5989530.00
1487881673991 248 1 1 140.000 98.334 5989530.00 8989530.00
1487881673998 249 1 1 140.000 101.240 inf 5989530.00
1487881674005 250 1 1 140.000 103.662 inf inf
1487881674012 251 1 1 140.000 105.600 17989530.00 5989530.00
1487881674018 252 1 1 140.000 107.053 17989530.00 inf
1487881674025 253 1 1 140.000 108.991 inf 8989530.00
1487881674032 254 1 1 140.000 110.928 17989530.00 5989530.00
1487881674039 255 1 1 140.000 112.381 17989530.00 8989530.00
1487881674045 256 1 1 140.000 113.350 inf 5989530.00
1487881674052 257 1 1 140.000 114.319 17989530.00 5989530.00
1487881674059 258 1 1 140.000 115.772 17989530.00 17989530.00
1487881674066 259 1 1 140.000 116.257 17989530.00 4489530.00
1487881674072 260 1 1 140.000 117.710 inf 4489530.00
1487881674079 261 1 1 140.000 118.679 17989530.00 8989530.00
1487881674086 262 1 1 140.000 119.647 17989530.00 5989530.00
1487881674093 263 1 1 140.000 123.038 inf 3589530.00
1487881674100 264 1 1 140.000 121.101 17989530.00 17989530.00
1487881674107 265 1 1 140.000 123.038 17989530.00 inf
1487881674114 266 1 1 140.000 124.976 17989530.00 5989530.00
1487881674120 267 1 1 140.000 124.976 inf 4489530.00
1487881674127 268 1 1 140.000 124.976 17989530.00 5989530.00
1487881674134 269 1 1 140.000 124.491 17989530.00 inf
1487881674141 270 1 1 140.000 125.460 17989530.00 5989530.00
1487881674147 271 1 1 140.000 126.429 17989530.00 17989530.00
1487881674154 272 1 1 140.000 126.913 inf 8989530.00
1487881674161 273 1 1 140.000 127.882 17989530.00 4489530.00
1487881674168 274 1 1 140.000 128.367 17989530.00 5989530.00
1487881674174 275 1 1 140.000 128.851 17989530.00 inf
1487881674181 276 1 1 140.000 128.851 17989530.00 inf
1487881674188 277 1 1 140.000 129.335 17989530.00 4489530.00
1487881674195 278 1 1 140.000 128.851 17989530.00 4489530.00
1487881674202 279 1 1 140.000 128.851 inf 5989530.00
1487881674208 280 1 1 140.000 129.335 inf 5989530.00
